"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-5701.blockOrder";"session.node-5701.IATorder";"session.node-5701.keyOrder";"session.node-9756.conditionType";"trial.id";"trial.index";"trial.name";"trial.GoNoGo_Practice.durationTime";"trial.GoNoGo_Practice.endTime";"trial.GoNoGo_Practice.icon";"trial.GoNoGo_Practice.location";"trial.GoNoGo_Practice.outcome";"trial.GoNoGo_Practice.response";"trial.GoNoGo_Practice.result";"trial.GoNoGo_Practice.RT";"trial.GoNoGo_Practice.signal";"trial.GoNoGo_Practice.startTime";"trial.GoNoGo_Practice.stimulus type";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime"
"test";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-11 12:24:39.098";"2014-02-11 12:26:16.488";"1";"1";"1";"0";"1";"1";"0";"module.GoNoGotutorial.exec-5895.GoNoGo_Tutorial";;;;;;;;;;;;"4000";"2014-02-11 12:25:22.995";"leftResponse";"0";"FINISHED";"NONE";"failure";"0";"0";"2014-02-11 12:25:18.994"
"test";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-11 12:24:39.098";"2014-02-11 12:26:16.488";"1";"1";"1";"0";"1";"2";"1";"module.GoNoGotutorial.exec-5895.GoNoGo_Tutorial";;;;;;;;;;;;"3999";"2014-02-11 12:25:28.282";"rightResponse";"1";"FINISHED";"NONE";"failure";"0";"0";"2014-02-11 12:25:24.282"
"test";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-11 12:24:39.098";"2014-02-11 12:26:16.488";"1";"1";"1";"0";"1";"3";"2";"module.GoNoGotutorial.exec-5895.GoNoGo_Tutorial";;;;;;;;;;;;"3999";"2014-02-11 12:25:33.565";"signalResponse";"0";"FINISHED";"NONE";"success";"0";"1";"2014-02-11 12:25:29.565"
"test";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-11 12:24:39.098";"2014-02-11 12:26:16.488";"1";"1";"1";"0";"1";"4";"3";"module.GoNoGopractice.exec-5521.GoNoGo_Practice";"1954";"2014-02-11 12:25:42.382";"18";"0";"FINISHED";"NONE";"failure";"0";"0";"2014-02-11 12:25:40.428";"3";;;;;;;;;;
"test";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-11 12:24:39.098";"2014-02-11 12:26:16.488";"1";"1";"1";"0";"1";"5";"4";"module.GoNoGopractice.exec-5521.GoNoGo_Practice";"1950";"2014-02-11 12:25:45.615";"21";"1";"FINISHED";"NONE";"failure";"0";"0";"2014-02-11 12:25:43.664";"3";;;;;;;;;;
"test";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-11 12:24:39.098";"2014-02-11 12:26:16.488";"1";"1";"1";"0";"1";"6";"5";"module.GoNoGopractice.exec-5521.GoNoGo_Practice";"1953";"2014-02-11 12:25:48.859";"14";"1";"FINISHED";"NONE";"success";"0";"1";"2014-02-11 12:25:46.905";"2";;;;;;;;;;
"test";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-11 12:24:39.098";"2014-02-11 12:26:16.488";"1";"1";"1";"0";"1";"7";"6";"module.GoNoGopractice.exec-5521.GoNoGo_Practice";"1950";"2014-02-11 12:25:52.090";"26";"0";"FINISHED";"NONE";"failure";"0";"0";"2014-02-11 12:25:50.139";"3";;;;;;;;;;
"test";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-11 12:24:39.098";"2014-02-11 12:26:16.488";"1";"1";"1";"0";"1";"8";"7";"module.GoNoGopractice.exec-5521.GoNoGo_Practice";"1950";"2014-02-11 12:25:55.320";"2";"0";"FINISHED";"NONE";"failure";"0";"0";"2014-02-11 12:25:53.369";"1";;;;;;;;;;
"test";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-11 12:24:39.098";"2014-02-11 12:26:16.488";"1";"1";"1";"0";"1";"9";"8";"module.GoNoGopractice.exec-5521.GoNoGo_Practice";"1951";"2014-02-11 12:25:58.549";"30";"0";"FINISHED";"NONE";"success";"0";"1";"2014-02-11 12:25:56.598";"3";;;;;;;;;;
"test";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-11 12:24:39.098";"2014-02-11 12:26:16.488";"1";"1";"1";"0";"1";"10";"9";"module.GoNoGopractice.exec-5521.GoNoGo_Practice";"1950";"2014-02-11 12:26:01.778";"6";"1";"FINISHED";"NONE";"success";"0";"1";"2014-02-11 12:25:59.827";"1";;;;;;;;;;
