"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-5759.blockOrder";"session.node-5759.IATorder";"session.node-5759.keyOrder";"session.node-7389.conditionType";"trial.id";"trial.index";"trial.name";"trial.GoNoGo_Practice.durationTime";"trial.GoNoGo_Practice.endTime";"trial.GoNoGo_Practice.icon";"trial.GoNoGo_Practice.location";"trial.GoNoGo_Practice.outcome";"trial.GoNoGo_Practice.response";"trial.GoNoGo_Practice.result";"trial.GoNoGo_Practice.RT";"trial.GoNoGo_Practice.signal";"trial.GoNoGo_Practice.startTime";"trial.GoNoGo_Practice.stimulus type";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime"
"rach";;;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2015-02-10 15:07:55.631";"2015-02-10 15:09:43.746";"1";"1";"0";"0";"0";"1";"0";"module.GoNoGotutorial.exec-8364.GoNoGo_Tutorial";;;;;;;;;;;;"4002";"2015-02-10 15:08:58.372";"leftResponse";"0";"FINISHED";"LEFT";"success";"2674";"0";"2015-02-10 15:08:54.370"
"rach";;;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2015-02-10 15:07:55.631";"2015-02-10 15:09:43.746";"1";"1";"0";"0";"0";"2";"1";"module.GoNoGotutorial.exec-8364.GoNoGo_Tutorial";;;;;;;;;;;;"4000";"2015-02-10 15:09:03.754";"rightResponse";"1";"FINISHED";"NONE";"failure";"0";"0";"2015-02-10 15:08:59.753"
"rach";;;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2015-02-10 15:07:55.631";"2015-02-10 15:09:43.746";"1";"1";"0";"0";"0";"3";"2";"module.GoNoGotutorial.exec-8364.GoNoGo_Tutorial";;;;;;;;;;;;"3999";"2015-02-10 15:09:09.132";"quickResponse";"0";"FINISHED";"NONE";"failure";"0";"0";"2015-02-10 15:09:05.132"
"rach";;;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2015-02-10 15:07:55.631";"2015-02-10 15:09:43.746";"1";"1";"0";"0";"0";"4";"3";"module.GoNoGopractice.exec-9597.GoNoGo_Practice";"1965";"2015-02-10 15:09:21.279";"18";"0";"FINISHED";"LEFT";"success";"467";"0";"2015-02-10 15:09:19.313";"3";;;;;;;;;;
"rach";;;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2015-02-10 15:07:55.631";"2015-02-10 15:09:43.746";"1";"1";"0";"0";"0";"5";"4";"module.GoNoGopractice.exec-9597.GoNoGo_Practice";"2141";"2015-02-10 15:09:24.783";"21";"1";"FINISHED";"LEFT";"failure";"341";"0";"2015-02-10 15:09:22.641";"3";;;;;;;;;;
"rach";;;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2015-02-10 15:07:55.631";"2015-02-10 15:09:43.746";"1";"1";"0";"0";"0";"6";"5";"module.GoNoGopractice.exec-9597.GoNoGo_Practice";"1976";"2015-02-10 15:09:28.497";"14";"1";"FINISHED";"NONE";"failure";"0";"0";"2015-02-10 15:09:26.521";"2";;;;;;;;;;
"rach";;;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2015-02-10 15:07:55.631";"2015-02-10 15:09:43.746";"1";"1";"0";"0";"0";"7";"6";"module.GoNoGopractice.exec-9597.GoNoGo_Practice";"1954";"2015-02-10 15:09:31.812";"26";"0";"FINISHED";"NONE";"failure";"0";"0";"2015-02-10 15:09:29.857";"3";;;;;;;;;;
"rach";;;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2015-02-10 15:07:55.631";"2015-02-10 15:09:43.746";"1";"1";"0";"0";"0";"8";"7";"module.GoNoGopractice.exec-9597.GoNoGo_Practice";"1953";"2015-02-10 15:09:35.133";"2";"0";"FINISHED";"NONE";"failure";"0";"0";"2015-02-10 15:09:33.179";"1";;;;;;;;;;
"rach";;;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2015-02-10 15:07:55.631";"2015-02-10 15:09:43.746";"1";"1";"0";"0";"0";"9";"8";"module.GoNoGopractice.exec-9597.GoNoGo_Practice";"1953";"2015-02-10 15:09:38.445";"30";"0";"FINISHED";"NONE";"failure";"0";"0";"2015-02-10 15:09:36.491";"3";;;;;;;;;;
"rach";;;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2015-02-10 15:07:55.631";"2015-02-10 15:09:43.746";"1";"1";"0";"0";"0";"10";"9";"module.GoNoGopractice.exec-9597.GoNoGo_Practice";"1954";"2015-02-10 15:09:41.757";"6";"1";"FINISHED";"NONE";"failure";"0";"0";"2015-02-10 15:09:39.802";"1";;;;;;;;;;
