"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-2519.blockOrder";"session.node-2519.IATorder";"session.node-2519.keyOrder";"session.node-4603.conditionType";"trial.id";"trial.index";"trial.name";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime"
"ruby";;;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"4";"1";"2015-02-09 21:31:36.527";"2015-02-09 21:31:51.540";"1";"1";"1";"0";"1";"5";"0";"module.GoNoGotutorial.exec-5898.GoNoGo_Tutorial";"3999";"2015-02-09 21:31:48.820";"leftResponse";"0";"FINISHED";"RIGHT";"failure";"2059";"0";"2015-02-09 21:31:44.820"
"ruby";;;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"4";"1";"2015-02-09 21:31:36.527";"2015-02-09 21:31:51.540";"1";"1";"1";"0";"1";"6";"1";"module.GoNoGotutorial.exec-5898.GoNoGo_Tutorial";;;;;;;;;;
