"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-4506.blockOrder";"session.node-4506.IATorder";"session.node-4506.keyOrder";"session.node-4594.conditionType";"trial.id";"trial.index";"trial.name";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime"
"21nov_Llaptop";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2013-11-21 15:46:28.383";"2013-11-21 15:46:48.378";"1";"1";"1";"0";"1";"1";"0";"module.GoNoGotutorial.exec-5896.GoNoGo_Tutorial";"4004";"2013-11-21 15:46:36.559";"leftResponse";"0";"FINISHED";"LEFT";"success";"301";"0";"2013-11-21 15:46:32.552"
"21nov_Llaptop";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2013-11-21 15:46:28.383";"2013-11-21 15:46:48.378";"1";"1";"1";"0";"1";"2";"1";"module.GoNoGotutorial.exec-5896.GoNoGo_Tutorial";"3998";"2013-11-21 15:46:41.906";"rightResponse";"1";"FINISHED";"RIGHT";"success";"390";"0";"2013-11-21 15:46:37.904"
"21nov_Llaptop";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2013-11-21 15:46:28.383";"2013-11-21 15:46:48.378";"1";"1";"1";"0";"1";"3";"2";"module.GoNoGotutorial.exec-5896.GoNoGo_Tutorial";"3998";"2013-11-21 15:46:47.223";"signalResponse";"0";"FINISHED";"NONE";"success";"0";"1";"2013-11-21 15:46:43.221"
