"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-2039.conditionType";"session.node-5506.DevalQorder";"trial.id";"trial.index";"trial.name";"trial.deval1.durationTime";"trial.deval1.endTime";"trial.deval1.icon";"trial.deval1.Resp_Attractive";"trial.deval1.Resp_Eat";"trial.deval1.Resp_Taste";"trial.deval1.RT_Attractive";"trial.deval1.RT_Eat";"trial.deval1.RT_Taste";"trial.deval1.startTime";"trial.deval1.stimulus type";"trial.devalPractice.durationTime";"trial.devalPractice.endTime";"trial.devalPractice.icon";"trial.devalPractice.Resp_Attractive";"trial.devalPractice.Resp_Eat";"trial.devalPractice.Resp_Taste";"trial.devalPractice.RT_Attractive";"trial.devalPractice.RT_Eat";"trial.devalPractice.RT_Taste";"trial.devalPractice.startTime";"trial.devalPractice.stimulus type";"trial.GoNoGo1.durationTime";"trial.GoNoGo1.endTime";"trial.GoNoGo1.Error Type";"trial.GoNoGo1.icon";"trial.GoNoGo1.location";"trial.GoNoGo1.outcome";"trial.GoNoGo1.response";"trial.GoNoGo1.result";"trial.GoNoGo1.RT";"trial.GoNoGo1.signal";"trial.GoNoGo1.startTime";"trial.GoNoGo1.stimulus type";"trial.GoNoGo2.durationTime";"trial.GoNoGo2.endTime";"trial.GoNoGo2.Error Type";"trial.GoNoGo2.icon";"trial.GoNoGo2.location";"trial.GoNoGo2.outcome";"trial.GoNoGo2.response";"trial.GoNoGo2.result";"trial.GoNoGo2.RT";"trial.GoNoGo2.signal";"trial.GoNoGo2.startTime";"trial.GoNoGo2.stimulus type";"trial.GoNoGo3.durationTime";"trial.GoNoGo3.endTime";"trial.GoNoGo3.Error Type";"trial.GoNoGo3.icon";"trial.GoNoGo3.location";"trial.GoNoGo3.outcome";"trial.GoNoGo3.response";"trial.GoNoGo3.result";"trial.GoNoGo3.RT";"trial.GoNoGo3.signal";"trial.GoNoGo3.startTime";"trial.GoNoGo3.stimulus type";"trial.GoNoGo4.durationTime";"trial.GoNoGo4.endTime";"trial.GoNoGo4.Error Type";"trial.GoNoGo4.icon";"trial.GoNoGo4.location";"trial.GoNoGo4.outcome";"trial.GoNoGo4.response";"trial.GoNoGo4.result";"trial.GoNoGo4.RT";"trial.GoNoGo4.signal";"trial.GoNoGo4.startTime";"trial.GoNoGo4.stimulus type";"trial.GoNoGo_Practice.durationTime";"trial.GoNoGo_Practice.endTime";"trial.GoNoGo_Practice.icon";"trial.GoNoGo_Practice.location";"trial.GoNoGo_Practice.outcome";"trial.GoNoGo_Practice.response";"trial.GoNoGo_Practice.result";"trial.GoNoGo_Practice.RT";"trial.GoNoGo_Practice.signal";"trial.GoNoGo_Practice.startTime";"trial.GoNoGo_Practice.stimulus type";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime"
"n12345";;;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-03 10:41:57.923";"2014-10-03 10:56:29.572";"1";"1";"0";"1";"0";"module.GoNoGotutorial.exec-8771.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"4001";"2014-10-03 10:43:05.127";"leftResponse";"0";"FINISHED";"LEFT";"success";"1175";"0";"2014-10-03 10:43:01.118"
"n12345";;;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-03 10:41:57.923";"2014-10-03 10:56:29.572";"1";"1";"0";"2";"1";"module.GoNoGotutorial.exec-8771.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"4003";"2014-10-03 10:43:10.431";"rightResponse";"1";"FINISHED";"RIGHT";"success";"882";"0";"2014-10-03 10:43:06.422"
"n12345";;;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-03 10:41:57.923";"2014-10-03 10:56:29.572";"1";"1";"0";"3";"2";"module.GoNoGotutorial.exec-8771.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"4003";"2014-10-03 10:43:15.735";"signalResponse";"0";"FINISHED";"NONE";"success";"0";"1";"2014-10-03 10:43:11.726"
"n12345";;;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-03 10:41:57.923";"2014-10-03 10:56:29.572";"1";"1";"0";"4";"3";"module.GoNoGopractice.exec-8760.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1958";"2014-10-03 10:43:28.105";"18";"0";"FINISHED";"LEFT";"success";"577";"0";"2014-10-03 10:43:26.140";"3";;;;;;;;;;
"n12345";;;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-03 10:41:57.923";"2014-10-03 10:56:29.572";"1";"1";"0";"5";"4";"module.GoNoGopractice.exec-8760.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1959";"2014-10-03 10:43:31.350";"21";"1";"FINISHED";"RIGHT";"success";"486";"0";"2014-10-03 10:43:29.384";"3";;;;;;;;;;
"n12345";;;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-03 10:41:57.923";"2014-10-03 10:56:29.572";"1";"1";"0";"6";"5";"module.GoNoGopractice.exec-8760.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1959";"2014-10-03 10:43:34.595";"14";"1";"FINISHED";"NONE";"success";"0";"1";"2014-10-03 10:43:32.629";"2";;;;;;;;;;
"n12345";;;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-03 10:41:57.923";"2014-10-03 10:56:29.572";"1";"1";"0";"7";"6";"module.GoNoGopractice.exec-8760.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1959";"2014-10-03 10:43:37.839";"26";"0";"FINISHED";"LEFT";"success";"508";"0";"2014-10-03 10:43:35.874";"3";;;;;;;;;;
"n12345";;;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-03 10:41:57.923";"2014-10-03 10:56:29.572";"1";"1";"0";"8";"7";"module.GoNoGopractice.exec-8760.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1959";"2014-10-03 10:43:41.084";"2";"0";"FINISHED";"LEFT";"success";"503";"0";"2014-10-03 10:43:39.119";"1";;;;;;;;;;
"n12345";;;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-03 10:41:57.923";"2014-10-03 10:56:29.572";"1";"1";"0";"9";"8";"module.GoNoGopractice.exec-8760.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1959";"2014-10-03 10:43:44.329";"30";"0";"FINISHED";"NONE";"success";"0";"1";"2014-10-03 10:43:42.363";"3";;;;;;;;;;
"n12345";;;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-03 10:41:57.923";"2014-10-03 10:56:29.572";"1";"1";"0";"10";"9";"module.GoNoGopractice.exec-8760.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1953";"2014-10-03 10:43:47.574";"6";"1";"FINISHED";"RIGHT";"failure";"432";"1";"2014-10-03 10:43:45.608";"1";;;;;;;;;;
"n12345";;;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-03 10:41:57.923";"2014-10-03 10:56:29.572";"1";"1";"0";"11";"10";"module.GoNoGopractice.exec-8760.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1960";"2014-10-03 10:43:50.818";"34";"0";"FINISHED";"LEFT";"success";"474";"0";"2014-10-03 10:43:48.853";"3";;;;;;;;;;
"n12345";;;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-03 10:41:57.923";"2014-10-03 10:56:29.572";"1";"1";"0";"12";"11";"module.GoNoGopractice.exec-8760.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1959";"2014-10-03 10:43:54.063";"23";"1";"FINISHED";"RIGHT";"success";"860";"0";"2014-10-03 10:43:52.098";"3";;;;;;;;;;
