"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-5520.conditionType";"session.node-8981.DevalQorder";"trial.id";"trial.index";"trial.name";"trial.deval1.durationTime";"trial.deval1.endTime";"trial.deval1.icon";"trial.deval1.Resp_Attractive";"trial.deval1.Resp_Eat";"trial.deval1.Resp_Taste";"trial.deval1.RT_Attractive";"trial.deval1.RT_Eat";"trial.deval1.RT_Taste";"trial.deval1.startTime";"trial.deval1.stimulus type";"trial.devalPractice.durationTime";"trial.devalPractice.endTime";"trial.devalPractice.icon";"trial.devalPractice.Resp_Attractive";"trial.devalPractice.Resp_Eat";"trial.devalPractice.Resp_Taste";"trial.devalPractice.RT_Attractive";"trial.devalPractice.RT_Eat";"trial.devalPractice.RT_Taste";"trial.devalPractice.startTime";"trial.devalPractice.stimulus type";"trial.GoNoGo1.durationTime";"trial.GoNoGo1.endTime";"trial.GoNoGo1.Error Type";"trial.GoNoGo1.icon";"trial.GoNoGo1.location";"trial.GoNoGo1.outcome";"trial.GoNoGo1.response";"trial.GoNoGo1.result";"trial.GoNoGo1.RT";"trial.GoNoGo1.signal";"trial.GoNoGo1.startTime";"trial.GoNoGo1.stimulus type";"trial.GoNoGo2.durationTime";"trial.GoNoGo2.endTime";"trial.GoNoGo2.Error Type";"trial.GoNoGo2.icon";"trial.GoNoGo2.location";"trial.GoNoGo2.outcome";"trial.GoNoGo2.response";"trial.GoNoGo2.result";"trial.GoNoGo2.RT";"trial.GoNoGo2.signal";"trial.GoNoGo2.startTime";"trial.GoNoGo2.stimulus type";"trial.GoNoGo3.durationTime";"trial.GoNoGo3.endTime";"trial.GoNoGo3.Error Type";"trial.GoNoGo3.icon";"trial.GoNoGo3.location";"trial.GoNoGo3.outcome";"trial.GoNoGo3.response";"trial.GoNoGo3.result";"trial.GoNoGo3.RT";"trial.GoNoGo3.signal";"trial.GoNoGo3.startTime";"trial.GoNoGo3.stimulus type";"trial.GoNoGo4.durationTime";"trial.GoNoGo4.endTime";"trial.GoNoGo4.Error Type";"trial.GoNoGo4.icon";"trial.GoNoGo4.location";"trial.GoNoGo4.outcome";"trial.GoNoGo4.response";"trial.GoNoGo4.result";"trial.GoNoGo4.RT";"trial.GoNoGo4.signal";"trial.GoNoGo4.startTime";"trial.GoNoGo4.stimulus type";"trial.GoNoGo_Practice.durationTime";"trial.GoNoGo_Practice.endTime";"trial.GoNoGo_Practice.icon";"trial.GoNoGo_Practice.location";"trial.GoNoGo_Practice.outcome";"trial.GoNoGo_Practice.response";"trial.GoNoGo_Practice.result";"trial.GoNoGo_Practice.RT";"trial.GoNoGo_Practice.signal";"trial.GoNoGo_Practice.startTime";"trial.GoNoGo_Practice.stimulus type";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime"
"ac12345";"1995";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-14 12:07:10.403";"2014-10-14 12:20:10.739";"1";"0";"0";"1";"0";"module.GoNoGotutorial.exec-6224.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"4000";"2014-10-14 12:08:48.481";"leftResponse";"0";"FINISHED";"LEFT";"success";"644";"0";"2014-10-14 12:08:44.472"
"ac12345";"1995";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-14 12:07:10.403";"2014-10-14 12:20:10.739";"1";"0";"0";"2";"1";"module.GoNoGotutorial.exec-6224.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"4003";"2014-10-14 12:08:53.785";"rightResponse";"1";"FINISHED";"RIGHT";"success";"575";"0";"2014-10-14 12:08:49.776"
"ac12345";"1995";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-14 12:07:10.403";"2014-10-14 12:20:10.739";"1";"0";"0";"3";"2";"module.GoNoGotutorial.exec-6224.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"4003";"2014-10-14 12:08:59.089";"quickResponse";"0";"FINISHED";"RIGHT";"failure";"2199";"0";"2014-10-14 12:08:55.080"
"ac12345";"1995";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-14 12:07:10.403";"2014-10-14 12:20:10.739";"1";"0";"0";"4";"3";"module.GoNoGopractice.exec-7260.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1959";"2014-10-14 12:09:07.217";"18";"0";"FINISHED";"LEFT";"success";"442";"0";"2014-10-14 12:09:05.251";"3";;;;;;;;;;
"ac12345";"1995";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-14 12:07:10.403";"2014-10-14 12:20:10.739";"1";"0";"0";"5";"4";"module.GoNoGopractice.exec-7260.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1959";"2014-10-14 12:09:10.477";"21";"1";"FINISHED";"RIGHT";"success";"279";"0";"2014-10-14 12:09:08.511";"3";;;;;;;;;;
"ac12345";"1995";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-14 12:07:10.403";"2014-10-14 12:20:10.739";"1";"0";"0";"6";"5";"module.GoNoGopractice.exec-7260.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1958";"2014-10-14 12:09:13.722";"14";"1";"FINISHED";"RIGHT";"success";"313";"0";"2014-10-14 12:09:11.756";"2";;;;;;;;;;
"ac12345";"1995";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-14 12:07:10.403";"2014-10-14 12:20:10.739";"1";"0";"0";"7";"6";"module.GoNoGopractice.exec-7260.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1959";"2014-10-14 12:09:16.967";"26";"0";"FINISHED";"LEFT";"success";"293";"0";"2014-10-14 12:09:15.001";"3";;;;;;;;;;
"ac12345";"1995";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-14 12:07:10.403";"2014-10-14 12:20:10.739";"1";"0";"0";"8";"7";"module.GoNoGopractice.exec-7260.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1959";"2014-10-14 12:09:20.211";"2";"0";"FINISHED";"LEFT";"success";"312";"0";"2014-10-14 12:09:18.246";"1";;;;;;;;;;
"ac12345";"1995";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-14 12:07:10.403";"2014-10-14 12:20:10.739";"1";"0";"0";"9";"8";"module.GoNoGopractice.exec-7260.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1959";"2014-10-14 12:09:23.456";"30";"0";"FINISHED";"LEFT";"success";"324";"0";"2014-10-14 12:09:21.491";"3";;;;;;;;;;
"ac12345";"1995";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-14 12:07:10.403";"2014-10-14 12:20:10.739";"1";"0";"0";"10";"9";"module.GoNoGopractice.exec-7260.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1959";"2014-10-14 12:09:26.717";"6";"1";"FINISHED";"RIGHT";"success";"311";"0";"2014-10-14 12:09:24.751";"1";;;;;;;;;;
"ac12345";"1995";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-14 12:07:10.403";"2014-10-14 12:20:10.739";"1";"0";"0";"11";"10";"module.GoNoGopractice.exec-7260.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1960";"2014-10-14 12:09:29.961";"34";"0";"FINISHED";"LEFT";"success";"307";"0";"2014-10-14 12:09:27.996";"3";;;;;;;;;;
"ac12345";"1995";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-14 12:07:10.403";"2014-10-14 12:20:10.739";"1";"0";"0";"12";"11";"module.GoNoGopractice.exec-7260.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1959";"2014-10-14 12:09:33.206";"23";"1";"FINISHED";"RIGHT";"success";"333";"0";"2014-10-14 12:09:31.241";"3";;;;;;;;;;
"ac12345";"1995";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-14 12:07:10.403";"2014-10-14 12:20:10.739";"1";"0";"0";"13";"12";"module.GoNoGopractice.exec-7260.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1959";"2014-10-14 12:09:36.451";"13";"0";"FINISHED";"LEFT";"success";"289";"0";"2014-10-14 12:09:34.485";"2";;;;;;;;;;
"ac12345";"1995";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-14 12:07:10.403";"2014-10-14 12:20:10.739";"1";"0";"0";"14";"13";"module.GoNoGopractice.exec-7260.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1960";"2014-10-14 12:09:39.696";"3";"1";"FINISHED";"RIGHT";"success";"325";"0";"2014-10-14 12:09:37.730";"1";;;;;;;;;;
"ac12345";"1995";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-14 12:07:10.403";"2014-10-14 12:20:10.739";"1";"0";"0";"15";"14";"module.GoNoGopractice.exec-7260.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1959";"2014-10-14 12:09:42.941";"27";"1";"FINISHED";"RIGHT";"success";"335";"0";"2014-10-14 12:09:40.975";"3";;;;;;;;;;
"ac12345";"1995";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-14 12:07:10.403";"2014-10-14 12:20:10.739";"1";"0";"0";"16";"15";"module.training_block1.exec-2869.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;"1256";"2014-10-14 12:09:52.332";"NST_correctLoc";"15";"1";"FINISHED";"RIGHT";"success";"328";"0";"2014-10-14 12:09:51.068";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ac12345";"1995";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-14 12:07:10.403";"2014-10-14 12:20:10.739";"1";"0";"0";"17";"16";"module.training_block1.exec-2869.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;"1258";"2014-10-14 12:09:54.875";"NST_correctLoc";"12";"0";"FINISHED";"LEFT";"success";"332";"0";"2014-10-14 12:09:53.611";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ac12345";"1995";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-14 12:07:10.403";"2014-10-14 12:20:10.739";"1";"0";"0";"18";"17";"module.training_block1.exec-2869.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;"1257";"2014-10-14 12:09:57.417";"NST_correctLoc";"0";"0";"FINISHED";"LEFT";"success";"276";"0";"2014-10-14 12:09:56.154";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ac12345";"1995";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-14 12:07:10.403";"2014-10-14 12:20:10.739";"1";"0";"0";"19";"18";"module.training_block1.exec-2869.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;"1261";"2014-10-14 12:09:59.960";"NST_correctLoc";"21";"0";"FINISHED";"LEFT";"success";"321";"0";"2014-10-14 12:09:58.697";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ac12345";"1995";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-14 12:07:10.403";"2014-10-14 12:20:10.739";"1";"0";"0";"20";"19";"module.training_block1.exec-2869.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;"1256";"2014-10-14 12:10:02.503";"NST_correctLoc";"4";"1";"FINISHED";"RIGHT";"success";"310";"0";"2014-10-14 12:10:01.239";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ac12345";"1995";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-14 12:07:10.403";"2014-10-14 12:20:10.739";"1";"0";"0";"21";"20";"module.training_block1.exec-2869.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;"1257";"2014-10-14 12:10:05.046";"NST_correctLoc";"8";"0";"FINISHED";"LEFT";"success";"344";"0";"2014-10-14 12:10:03.782";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ac12345";"1995";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-14 12:07:10.403";"2014-10-14 12:20:10.739";"1";"0";"0";"22";"21";"module.training_block1.exec-2869.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;"1257";"2014-10-14 12:10:07.589";"NST_correctLoc";"20";"0";"FINISHED";"LEFT";"success";"353";"0";"2014-10-14 12:10:06.325";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ac12345";"1995";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-14 12:07:10.403";"2014-10-14 12:20:10.739";"1";"0";"0";"23";"22";"module.training_block1.exec-2869.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;"1255";"2014-10-14 12:10:10.225";"NST_correctLoc";"30";"1";"FINISHED";"RIGHT";"success";"283";"0";"2014-10-14 12:10:08.961";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ac12345";"1995";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-14 12:07:10.403";"2014-10-14 12:20:10.739";"1";"0";"0";"24";"23";"module.training_block1.exec-2869.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;"1257";"2014-10-14 12:10:12.768";"NST_correctLoc";"17";"0";"FINISHED";"LEFT";"success";"293";"0";"2014-10-14 12:10:11.504";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ac12345";"1995";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-14 12:07:10.403";"2014-10-14 12:20:10.739";"1";"0";"0";"25";"24";"module.training_block1.exec-2869.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;"1256";"2014-10-14 12:10:15.311";"NST_correctLoc";"22";"1";"FINISHED";"RIGHT";"success";"326";"0";"2014-10-14 12:10:14.047";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ac12345";"1995";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-14 12:07:10.403";"2014-10-14 12:20:10.739";"1";"0";"0";"26";"25";"module.training_block1.exec-2869.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;"1257";"2014-10-14 12:10:17.853";"NST_correctLoc";"25";"0";"FINISHED";"LEFT";"success";"312";"0";"2014-10-14 12:10:16.590";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
